2021-07-09 00:00:25,016 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778025.014066, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:25,167 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778025.1659718, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:25,392 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778025.3893752, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:25,395 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778025.393373, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:25,467 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778025.4643345, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:25,599 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778025.5961063, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:25,698 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778025.6965187, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:25,700 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778025.6965187, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:30,679 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778030.6761642, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:30,742 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778030.7401247, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:30,941 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778030.9398975, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:31,122 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778031.120307, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:31,205 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778031.2006285, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:31,266 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778031.2625847, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:31,419 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778031.4167993, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:31,425 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778031.4237916, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:31,438 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778031.4357834, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:31,492 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778031.4907026, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,176 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.1746428, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,181 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.1787534, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,310 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.3080695, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,344 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.342048, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,595 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.5933783, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,688 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.6853213, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,832 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.8300245, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,989 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.986234, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,994 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.9922292, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:00:39,997 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625778039.996225, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:25,775 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779825.773704, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:25,789 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779825.7866957, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:25,835 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779825.8306684, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:25,945 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779825.9426022, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:26,092 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779826.0895078, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:26,174 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779826.1725888, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:26,305 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779826.3025799, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:26,454 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779826.4522395, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:26,641 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779826.639356, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:26,656 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779826.655325, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:53,236 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779853.234061, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:53,265 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779853.2624369, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:30:53,270 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779853.2694273, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:31:20,017 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779880.0164585, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:31:20,033 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779880.032449, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:31:24,614 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779884.6133268, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:31:24,632 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779884.6318507, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:33:05,463 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779985.4617965, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:33:05,534 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625779985.5320373, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
